model,filepath,actual,predicted,predicted_index,confidence_percent
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/Apple_black_rot.JPG,Other_Images,apple,0,98.68189239501953
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/Apple_black_rot2.JPG,Other_Images,apple,0,95.49345397949219
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/Apple_scab.JPG,Other_Images,apple,0,96.23111724853516
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/Apple_scab_2.JPG,Other_Images,apple,0,99.98991394042969
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/bellpepper_bacterial_1.JPG,Other_Images,bellpepper,1,99.99551391601562
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/bellpepper_bacterial_2.JPG,Other_Images,bellpepper,1,99.9980239868164
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/bellpepper_healthy_1.JPG,Other_Images,bellpepper,1,99.99822235107422
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/bellpepper_healthy_2.JPG,Other_Images,bellpepper,1,99.99824523925781
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/berry_healthy.JPG,Other_Images,strawberry,7,99.97354125976562
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/berry_healthy1.JPG,Other_Images,strawberry,7,99.98983001708984
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/berry_leafscorch.JPG,Other_Images,strawberry,7,99.99457550048828
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/berry_leafscorch1.JPG,Other_Images,strawberry,7,96.30252838134766
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_blackrot_1.JPG,Other_Images,grape,4,100.0
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_blackrot_2.JPG,Other_Images,grape,4,96.46586608886719
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_blackrot_3.JPG,Other_Images,grape,4,99.99012756347656
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_blackrot_4.JPG,Other_Images,grape,4,91.68378448486328
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_esca_1.JPG,Other_Images,grape,4,99.79943084716797
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_esca_2.JPG,Other_Images,grape,4,99.97985076904297
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_esca_3.JPG,Other_Images,grape,4,99.99929809570312
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_esca_4.JPG,Other_Images,grape,4,99.9999771118164
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_healthy_1.JPG,Other_Images,grape,4,99.99840545654297
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_healthy_2.JPG,Other_Images,grape,4,99.99984741210938
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_healthy_3.JPG,Other_Images,grape,4,98.69440460205078
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_healthy_4.JPG,Other_Images,grape,4,99.89379119873047
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_leafblight_1.JPG,Other_Images,grape,4,99.9999771118164
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_leafblight_2.JPG,Other_Images,grape,4,99.99565887451172
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_leafblight_3.JPG,Other_Images,grape,4,99.94535827636719
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/grapes_leafblight_4.JPG,Other_Images,grape,4,99.99944305419922
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_bacterial_1.JPG,Other_Images,peach,5,99.97882080078125
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_bacterial_2.JPG,Other_Images,peach,5,99.85664367675781
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_bacterial_3.JPG,Other_Images,peach,5,90.8565902709961
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_bacterial_4.JPG,Other_Images,peach,5,97.49917602539062
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_bacterial_5.JPG,Other_Images,peach,5,99.98933410644531
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_bacterial_6.JPG,Other_Images,peach,5,99.76725006103516
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_bacterial_7.JPG,Other_Images,peach,5,93.87374114990234
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_bacterial_8.JPG,Other_Images,peach,5,99.6449966430664
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_healthy_1.JPG,Other_Images,peach,5,99.93329620361328
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_healthy_2.JPG,Other_Images,peach,5,99.81195068359375
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_healthy_3.JPG,Other_Images,peach,5,99.99616241455078
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_healthy_4.JPG,Other_Images,peach,5,99.94548034667969
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_healthy_5.JPG,Other_Images,peach,5,99.99894714355469
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/peach_healthy_6.JPG,Other_Images,peach,5,99.94091796875
5.keras,/home/amit/code_only/code/new/all_data/data/Test/Other_Images/tomato_bacterialspot_1.JPG,Other_Images,grape,4,82.77703857421875
